,day,seat,occ
194,Thursday,31-45,35.7
195,Wednesday,31-45,19.6
196,Friday,31-46,66.7
197,Monday,31-46,17.5
198,Tuesday,31-46,61.1
199,Thursday,31-46,69.8
200,Wednesday,31-46,63.5
201,Friday,31-47,22
202,Monday,31-47,46.8
203,Tuesday,31-47,30.9
204,Thursday,31-47,52.8
205,Wednesday,31-47,66.2
206,Friday,31-48,0
207,Monday,31-48,0
208,Tuesday,31-48,23
209,Thursday,31-48,22.6
210,Wednesday,31-48,0
211,Friday,31-49,66.8
212,Monday,31-49,33.3
213,Tuesday,31-49,39.2
214,Thursday,31-49,47.7
215,Wednesday,31-49,64.5
216,Friday,31-50,0
217,Monday,31-50,13.2
218,Tuesday,31-50,12.5
219,Thursday,31-50,22.2
220,Wednesday,31-50,36.1
221,Friday,31-51,0
222,Monday,31-51,0
223,Tuesday,31-51,0
224,Thursday,31-51,16.8
225,Wednesday,31-51,0
226,Friday,31-52,9.5
227,Monday,31-52,0.9
228,Tuesday,31-52,0
229,Thursday,31-52,34.7
230,Wednesday,31-52,16.4
231,Friday,31-53,0
232,Monday,31-53,49.5
233,Tuesday,31-53,66.7
234,Thursday,31-53,55.7
235,Wednesday,31-53,67.3
236,Friday,31-54,0
237,Monday,31-54,29.3
238,Tuesday,31-54,29.7
239,Thursday,31-54,33.9
240,Wednesday,31-54,61.6
241,Friday,31-55,0
242,Monday,31-55,31.4
243,Tuesday,31-55,52
244,Thursday,31-55,41.4
245,Wednesday,31-55,63.8
246,Friday,31-56,19.2
247,Monday,31-56,31.8
248,Tuesday,31-56,51
249,Thursday,31-56,55.8
250,Wednesday,31-56,57
251,Friday,31-57,0
252,Monday,31-57,0
253,Tuesday,31-57,24.8
254,Thursday,31-57,0
255,Wednesday,31-57,19.1
256,Friday,31-59,0
257,Monday,31-59,0
258,Tuesday,31-59,0
259,Thursday,31-59,0
260,Wednesday,31-59,0
261,Friday,31-60,0
262,Monday,31-60,8.6
263,Tuesday,31-60,0
264,Thursday,31-60,9.4
265,Wednesday,31-60,8.8
266,Friday,31-61,0
267,Monday,31-61,0
268,Tuesday,31-61,0
269,Thursday,31-61,0
270,Wednesday,31-61,0
271,Friday,31-62,0
272,Monday,31-62,0
273,Tuesday,31-62,0
274,Thursday,31-62,0
275,Wednesday,31-62,0
276,Friday,31-63,0
277,Monday,31-63,0
278,Tuesday,31-63,0
