"","day","seat","occ"
"183","Thursday","33-42",31.4
"184","Tuesday","33-42",35.6
"185","Wednesday","33-42",63.8
"186","Friday","33-43",37.9
"187","Monday","33-43",68.5
"188","Thursday","33-43",26.5
"189","Tuesday","33-43",74.2
"190","Wednesday","33-43",62.1
"191","Friday","33-44",50.5
"192","Monday","33-44",61.6
"193","Thursday","33-44",32.5
"194","Tuesday","33-44",44.3
"195","Wednesday","33-44",60.5
"196","Friday","33-45",0
"197","Monday","33-45",21.8
"198","Thursday","33-45",0
"199","Tuesday","33-45",36.6
"200","Wednesday","33-45",60
"201","Friday","33-46",49.2
"202","Monday","33-46",31.5
"203","Thursday","33-46",19.6
"204","Tuesday","33-46",59.1
"205","Wednesday","33-46",46.7
"206","Friday","33-47",0
"207","Monday","33-47",38.8
"208","Thursday","33-47",0
"209","Tuesday","33-47",46.1
"210","Wednesday","33-47",34.4
"211","Friday","33-48",25.1
"212","Monday","33-48",16.7
"213","Thursday","33-48",24.2
"214","Tuesday","33-48",0
"215","Wednesday","33-48",33.1
"216","Friday","33-49",0
"217","Monday","33-49",14.8
"218","Thursday","33-49",5.7
"219","Tuesday","33-49",24.4
"220","Wednesday","33-49",31
"221","Friday","33-5",0
"222","Monday","33-5",8.5
"223","Thursday","33-5",0.3
"224","Tuesday","33-5",28.7
"225","Wednesday","33-5",0
"226","Friday","33-50",1
"227","Monday","33-50",7.6
"228","Thursday","33-50",19.3
"229","Tuesday","33-50",39
"230","Wednesday","33-50",22.8
"231","Friday","33-52",35.4
"232","Monday","33-52",48.9
"233","Thursday","33-52",58.5
"234","Tuesday","33-52",34.2
"235","Wednesday","33-52",45.4
"236","Friday","33-53",45.9
"237","Monday","33-53",46.5
"238","Thursday","33-53",11.9
"239","Tuesday","33-53",33.1
"240","Wednesday","33-53",0
"241","Friday","33-54",20.8
"242","Monday","33-54",39.9
"243","Thursday","33-54",37.6
"244","Tuesday","33-54",30.8
"245","Wednesday","33-54",60
"246","Friday","33-55",0
"247","Monday","33-55",48.5
"248","Thursday","33-55",26.8
"249","Tuesday","33-55",43.4
"250","Wednesday","33-55",46.7
"251","Friday","33-56",65.6
"252","Monday","33-56",59.1
"253","Thursday","33-56",60.1
"254","Tuesday","33-56",68.9
"255","Wednesday","33-56",46.2
"256","Friday","33-57",0.3
"257","Monday","33-57",31.7
"258","Thursday","33-57",1.3
"259","Tuesday","33-57",7.2
"260","Wednesday","33-57",0
"261","Friday","33-58",0
"262","Monday","33-58",29.8
"263","Thursday","33-58",51.3
"264","Tuesday","33-58",26.8
"265","Wednesday","33-58",0
