Region,Region Name,Building Code,Region,Building Name,Building Address 1,Building Address 2,City,State,Zip,County,Municipality,Country,Latitude,Longitude,Ownership,Building Status,Building Class,Primary Use,Employees,,Seating Capacity,Estimated GSF,
M12,REGION 12 Philadelphia - Delaware - Southern NJ,W300,12,300 Delaware Avenue,300 Delaware Ave,,Wilmington,DE,19801-1607,New Castle County,Wilmington,United States of America,39.746767,-75.550382,Leased,Active,Office,General Office with Branch,138,each,234,90124.91,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,PBBW,12,Blue Bell PA-Wealth Management,860 Penllyn Pike,Suites 110 and 211-239,Blue Bell,PA,19422-1676,Montgomery County,Whitpain Township,United States of America,40.173,-75.240128,Leased,Active,Office,General Office,20,each,35,7329.97,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,JCHH,12,Cherry Hill - 1950 East Route 70,1950 Marlton Pike E,,Cherry Hill,NJ,08003-2152,Camden County,Cherry Hill Twp,United States of America,39.901178,-74.961331,Owned,Active,Office,General Office,76,each,110,37433,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,F084,12,Doylestown Ag Works,100 S Main St,,Doylestown,PA,18901-4900,Bucks County,Doylestown Borough,United States of America,40.307827,-75.129663,Leased,Active,Office,General Office,32,each,32,11793.89859,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,F166,12,Eastwick Center,8800 Tinicum Blvd,,Philadelphia,PA,19153-3111,Philadelphia County,Philadelphia,United States of America,39.886606,-75.246653,Leased,Active,Office,Operations Center,679,each,"1,743",446812.3429,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,J657,12,Moorestown Ops Ctr,312 W Route 38,Route 38 & Eastgate Drive,Moorestown,NJ,08057-3212,Burlington County,Moorestown Twp,United States of America,39.949463,-74.956388,Owned,Active,Office,Operations Center,191,each,400,77545.51,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,FNHP,12,New Hope PA - Capital Markets,400 S. River Rd,Suite 300,New Hope,PA,18938-2255,Bucks County,Borough of New Hope,United States of America,40.3512,-74.948,Leased,Active,Office,General Office,14,each,23,6532.067488,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,WTLF,12,PNC Inv - Little Falls,2751 Centerville Rd,Suite 208,Wilmington,DE,19808-1627,New Castle County,Wilmington,United States of America,39.755485,-75.62534,Leased,Active,Office,General Office,12,each,16,4423.19,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,FTCW,12,Town Center - Wayne PA,200 W Lancaster Ave,Suite 200,Wayne,PA,19087-4046,Delaware County,Radnor Township,United States of America,40.044133,-75.391314,Leased,Active,Office,General Office,23,each,29,9888.548032,square-feet
M12,REGION 12 Philadelphia - Delaware - Southern NJ,F074,12,Westlakes - Berwyn PA,1000 Westlakes Dr,,Berwyn,PA,19312-2409,Chester County,Tredyffrin Township,United States of America,40.061461,-75.467719,Leased,Active,Office,General Office,74,each,110,28211.99067,square-feet
M13,REGION 13 Northern NJ - Eastern PA,NWBM,13,11 West Market Street,11 Market St,,Wilkes-Barre,PA,18702-7104,Luzerne County,Wilkes Barre City,United States of America,41.246812,-75.882446,Leased,Active,Office,General Office with Branch,28,each,55,32640.67263,square-feet
M13,REGION 13 Northern NJ - Eastern PA,XNYC,13,340 Madison Avenue,340 Madison Ave,between 43rd & 44th Streets,New York,NY,10173-1903,New York County,New York City,United States of America,40.754032,-73.978403,Leased,Active,Office,General Office with Branch,162,each,200,42574.19,square-feet
M13,REGION 13 Northern NJ - Eastern PA,J461,13,Garret Mountain,1 Garret Mountain Plz,,Woodland Park,NJ,07424-3320,Passaic County,Woodland Park Borough,United States of America,40.901511,-74.188435,Leased,Active,Office,General Office,120,each,139,64974.23,square-feet
M13,REGION 13 Northern NJ - Eastern PA,N509,13,Lehigh Valley Corp Ctr,1660 Valley Center Pkwy,Suite 100,Bethlehem,PA,18017-7800,Northampton County,Hanover Township,United States of America,40.655018,-75.413533,Leased,Active,Office,General Office,32,each,33,8502.53,square-feet
M13,REGION 13 Northern NJ - Eastern PA,JOPR,13,Millburn (NJ) Office,265 Millburn Ave,,Millburn,NJ,07041-1703,Essex County,Milburn Twp,United States of America,40.724337,-74.301682,Leased,Active,Office,General Office,34,each,47,22705.82,square-feet
M13,REGION 13 Northern NJ - Eastern PA,XBDW,13,NYC 165 Broadway - Executive Suite,165 Broadway,23rd Floor,New York,NY,10006-1432,New York County,New York,United States of America,,,Leased,Active,Office,Executive Suite,0,each,1,230,square-feet
M13,REGION 13 Northern NJ - Eastern PA,NSSB,13,PNC Field Stadium Box,235 Montage Mountain Rd,,Moosic,PA,18507-1765,Lackawanna County,Moosic Boro,United States of America,41.362506,-75.687356,Leased,Active,Other,Entertainment Facility,0,each,4,255,square-feet
M13,REGION 13 Northern NJ - Eastern PA,JRDG,13,Ridgewood Wealth Management,257 E Ridgewood Ave,,Ridgewood,NJ,07450-3817,Bergen County,Village of Ridgewood,United States of America,40.9791,-74.1133,Leased,Active,Office,General Office with Branch,21,each,35,8651.32,square-feet
M13,REGION 13 Northern NJ - Eastern PA,NADM,13,Scranton Admin Building,201 Penn Ave,,Scranton,PA,18503-1958,Lackawanna County,Scranton City,United States of America,41.409756,-75.666279,Groundlease,Active,Office,General Office with Branch,106,each,231,140562.85,square-feet
M13,REGION 13 Northern NJ - Eastern PA,PSWM,13,Stroudsburg Wealth Management,639 Main St,,Stroudsburg,PA,18360-2030,Monroe County,Stroudsburg Borough,United States of America,40.985481,-75.193453,Leased,Active,Office,General Office,8,each,11,3000.804173,square-feet
M13,REGION 13 Northern NJ - Eastern PA,JSNJ,13,Summit NJ - Capital Markets,382 Springfield Ave,Suite 517,Summit,NJ,07901-4602,Union County,Unknown,United States of America,,,Leased,Active,Office,General Office,0,each,1,1020,square-feet
M13,REGION 13 Northern NJ - Eastern PA,NWBB,13,Wachovia Arena Suite F,255 Highland Park Blvd,,Wilkes-Barre,PA,18702-6769,Luzerne County,Wilkes Barre Twp,United States of America,41.23859,-75.852473,Leased,Active,Other,Entertainment Facility,0,each,1,200,square-feet
M14,REGION 14 Southern Ohio - Northern Kentucky,YB31,14,Cincinnati - 925 Annex,1265 Gest St,,Cincinnati,OH,45203-1115,Hamilton County,City of Cincinnati,United States of America,39.10679,-84.537677,Owned,Active,Office,General Office,38,each,99,30211.05,square-feet
M14,REGION 14 Southern Ohio - Northern Kentucky,YB62,14,Data Center Building - Cincinnati,925 Dalton Ave,,Cincinnati,OH,45203-1101,Hamilton County,City of Cincinnati,United States of America,39.117992,-84.529527,Owned,Active,Office,General Office,38,each,120,107336.21,square-feet
M14,REGION 14 Southern Ohio - Northern Kentucky,BDWS,14,Dayton - Water Street District,312 N Patterson Blvd,,Dayton,OH,45402-2845,Montgomery County,City of Dayton,United States of America,39.764,-84.1876,Leased,Active,Office,General Office with Branch,73,each,105,28280.17,square-feet
M14,REGION 14 Southern Ohio - Northern Kentucky,B141,14,Fourth and Vine - Cincinnati,1 E 4th St,,Cincinnati,OH,45202-3715,Hamilton County,City of Cincinnati,United States of America,39.099606,-84.51218,Leased,Active,Office,General Office with Branch,16,each,42,26185.95,square-feet
M14,REGION 14 Southern Ohio - Northern Kentucky,YB66,14,Foxmeyer - Cincinnati,1269 Gest St,,Cincinnati,OH,45203-1115,Hamilton County,City of Cincinnati,United States of America,39.106797,-84.537743,Owned,Active,Office,General Office,0,each,0,20851.16,square-feet
M14,REGION 14 Southern Ohio - Northern Kentucky,YB71,14,Gest Street - Cincinnati,995 Dalton Ave,,Cincinnati,OH,45203-1101,Hamilton County,City of Cincinnati,United States of America,39.106558,-84.536535,Leased,Active,Office,General Office,171,each,309,54604.44,square-feet
M14,REGION 14 Southern Ohio - Northern Kentucky,BM01,14,PNC Center - Cincinnati,201 E 5th St,,Cincinnati,OH,45202-4117,Hamilton County,City of Cincinnati,United States of America,39.101592,-84.509644,Leased,Active,Office,General Office with Branch,297,each,410,153029.31,square-feet
M14,REGION 14 Southern Ohio - Northern Kentucky,B270,14,PNC Center - Dayton,6 North Main Street,,Dayton,OH,45402-1993,Montgomery County,City of Dayton,United States of America,39.759628,-84.191674,Owned,Active,Office,General Office,0,each,1,262643,square-feet
